date,100_pct_voo,95_5,90_10,80_20,70_30,100_pct_momentum,100_pct_vti
2012-10-15,121125.8222,119994.7554,118864.0474,116604.4632,114348.5589,98777.9835,120949.9860
2012-10-16,122356.3614,121152.5771,119950.3092,117551.0815,115160.1717,98773.4665,122198.5180
2012-10-17,122925.6869,121658.2924,120393.5727,117872.9097,115365.1746,98287.1873,122773.5435
2012-10-18,122613.5153,121310.8671,120011.6867,117424.4688,114853.3098,97415.9538,122527.1311
2012-10-19,120519.7591,119311.4548,118105.0148,115698.4810,113301.6384,96910.4353,120407.8297
2012-10-22,120593.2342,119376.2711,118161.3338,115738.2881,113325.5747,96840.8232,120407.8297
2012-10-23,118830.0361,117733.1886,116636.2544,114442.8903,112251.4532,97085.0344,118879.9133
2012-10-24,118572.8999,117451.3784,116330.2745,114090.0814,111853.8239,96428.8758,118551.3634
2012-10-25,118903.5023,117747.1986,116591.9180,114285.1879,111984.8131,96177.9516,118879.9133
2012-10-26,118811.6762,117713.3267,116614.8797,114418.4623,112223.9424,97035.8476,118748.4680
2012-10-31,118701.4281,117609.6747,116517.7198,114333.9739,112151.7080,97037.7504,118814.1748
2012-11-01,120097.2951,118931.5601,117766.7566,115440.7212,113120.7197,97169.9001,120309.2142
2012-11-02,119013.6795,117817.3304,116622.7102,114239.4212,111865.3170,95621.0340,119060.6347
2012-11-05,119289.1933,118107.0128,116926.2216,114569.5776,112220.7769,96117.3348,119438.4685
2012-11-06,120170.7702,118998.6185,117827.4911,115489.0887,113157.0974,97133.0972,120342.0913
2012-11-07,117544.4171,116464.0259,115383.3347,113221.8234,111061.4054,96090.0246,117647.7407
2012-11-08,115983.2400,114978.6292,113972.5823,111956.9408,109937.8211,95827.4843,116152.6855
2012-11-09,116111.8214,115108.1344,114102.9742,112088.9947,110071.3900,95967.6848,116267.6843
2012-11-12,116277.1049,115256.6444,114234.9765,112188.7824,110140.0348,95848.4286,116333.3753
2012-11-13,115854.6941,114833.7120,113811.6018,111764.7590,109715.6727,95429.8981,115889.8504
2012-11-14,114440.4937,113471.1746,112500.0434,110553.0933,108601.1278,94916.5447,114263.4291
